ServerName,DnsRecord,Pingable,QueriedName,QueriedModel,Status,detectiondate,LastActive,Actionondate
qtmbkp3.atl.careerbuilder.com,10.240.245.100,False,,,Recommend Delete Object & DNS Record,06/06/2016 07:56:52,40.20:18:45.7389279,
JSTEST1.atl.careerbuilder.com,No Record,No Ip on Record,,,Recommend Delete Object,06/06/2016 07:58:38,51.09:50:47.5155900,
QTXPtoV2.atl.careerbuilder.com,10.240.65.211,False,,,Recommend Delete Object & DNS Record,06/06/2016 07:59:18,53.13:05:35.7178958,
QTMWSUS.atl.careerbuilder.com,10.240.70.143,False,,,Recommend Delete Object & DNS Record,06/06/2016 07:59:50,42.11:08:14.1185895,
QTXPtoV1.atl.careerbuilder.com,10.240.65.210,False,,,Recommend Delete Object & DNS Record,06/06/2016 07:59:54,42.11:32:31.9449595,
QTXPTOV3.atl.careerbuilder.com,10.240.65.212,False,,,Recommend Delete Object & DNS Record,06/06/2016 07:59:57,63.08:41:34.4551593,
jt-nametest2.atl.careerbuilder.com,No Record,No Ip on Record,,,Recommend Delete Object,06/06/2016 08:00:07,66.22:12:31.2691505,
jt-namingtest4.atl.careerbuilder.com,No Record,No Ip on Record,,,Recommend Delete Object,06/06/2016 08:00:07,66.19:47:24.3287601,
jt-namingtest5.atl.careerbuilder.com,No Record,No Ip on Record,,,Recommend Delete Object,06/06/2016 08:00:07,66.18:58:19.9666928,
jt-namingtest8.atl.careerbuilder.com,No Record,No Ip on Record,,,Recommend Delete Object,06/06/2016 08:00:07,66.16:32:00.5522943,
jt-2008test.atl.careerbuilder.com,No Record,No Ip on Record,,,Recommend Delete Object,06/06/2016 08:00:07,65.23:33:21.9522577,
GHQFOUND06.atl.careerbuilder.com,No Record,No Ip on Record,,,Recommend Delete Object,06/06/2016 08:00:07,44.21:01:08.6888534,
jt-test1.atl.careerbuilder.com,No Record,No Ip on Record,,,Recommend Delete Object,06/06/2016 08:00:07,38.21:08:18.9610506,
jt-test2.atl.careerbuilder.com,No Record,No Ip on Record,,,Recommend Delete Object,06/06/2016 08:00:07,38.20:27:14.4679914,
prtg.atl.careerbuilder.com,10.240.70.129,False,,,Recommend Delete Object & DNS Record,07/04/2016 07:54:27,43.02:48:41.6966013,
jt-test909.atl.careerbuilder.com,10.230.65.40,False,,,Recommend Delete Object & DNS Record,07/04/2016 07:54:30,54.14:49:58.8257001,
JT-patchtest.atl.careerbuilder.com,10.198.55.175,True,,,IP Reused,07/04/2016 07:54:31,48.17:04:11.5524450,
