Server,IP ,domain
3PARREPORT,10.241.110.184,idrac.careerbuilder.com
bear030924,10.231.107.101,idrac.careerbuilder.com
bear030925,10.231.107.100,idrac.careerbuilder.com
bearapim1,10.231.106.215,idrac.careerbuilder.com
BEARBUILDVM1,10.231.15.119,idrac.careerbuilder.com
bearcass01,10.231.110.110,idrac.careerbuilder.com
bearcass03,10.231.110.112,idrac.careerbuilder.com
bearcass04,10.231.110.113,idrac.careerbuilder.com
bearddp1a,10.231.110.118,idrac.careerbuilder.com
bearddp1b,10.231.110.119,idrac.careerbuilder.com
beardeployvm1,10.231.15.96,idrac.careerbuilder.com
BEARLS01,10.231.65.111,idrac.careerbuilder.com
BEARRPROC10,10.231.15.121,idrac.careerbuilder.com
bearrproc7,10.231.230.107,idrac.careerbuilder.com
bearsolrapi12,10.231.106.114,idrac.careerbuilder.com
bearsolrapi8,10.231.214.150,idrac.careerbuilder.com
bearsolrapi9,10.231.106.111,idrac.careerbuilder.com
bearsolrapim12,10.231.106.108,idrac.careerbuilder.com
bearsolrapim8,10.231.214.149,idrac.careerbuilder.com
bearsolrapim9,10.231.106.105,idrac.careerbuilder.com
BEARSOLRONE03,10.231.106.168,idrac.careerbuilder.com
BEARSOLRONE04,10.231.106.169,idrac.careerbuilder.com
BEARSOLRONE05,10.231.106.170,idrac.careerbuilder.com
BEARSOLRONE06,10.231.106.171,idrac.careerbuilder.com
BEARSOLRONE07,10.231.106.172,idrac.careerbuilder.com
BEARSOLRONEM1,10.231.106.165,idrac.careerbuilder.com
bearsolrres37,10.231.77.151,idrac.careerbuilder.com
bearsolrres38,10.231.77.152,idrac.careerbuilder.com
bearsolrresjobm1,10.231.214.110,idrac.careerbuilder.com
BEARSOLRSPARE1,10.231.15.141,idrac.careerbuilder.com
bearspare1,10.241.214.151,idrac.careerbuilder.com
bearspare2,10.241.214.152,idrac.careerbuilder.com
bearspare3,10.241.214.153,idrac.careerbuilder.com
BEARSPARE9,10.231.15.123,idrac.careerbuilder.com
BEARSRCHBAT1,10.231.105.111,idrac.careerbuilder.com
BEARSRCHBAT2,10.231.105.112,idrac.careerbuilder.com
BEARSRCHBAT3,10.231.105.108,idrac.careerbuilder.com
BEARSRCHBAT4,10.231.105.109,idrac.careerbuilder.com
BEARSRCHBAT5,10.231.105.110,idrac.careerbuilder.com
BEARSRCHBAT6,10.231.105.114,idrac.careerbuilder.com
BEARSRCHBAT7,10.231.105.115,idrac.careerbuilder.com
BEARSRCHBAT8,10.231.105.116,idrac.careerbuilder.com
BEARSRCHBAT9,10.231.105.117,idrac.careerbuilder.com
BEARSTAPI14,10.231.205.174,idrac.careerbuilder.com
BEARSTAPI17,10.231.205.177,idrac.careerbuilder.com
BEARSTAPI18,10.231.205.178,idrac.careerbuilder.com
BEARSTAPI19,10.231.205.179,idrac.careerbuilder.com
BEARVMHOST01,10.231.15.101,idrac.careerbuilder.com
BEARVMHOST02,10.231.15.102,idrac.careerbuilder.com
bearwebtest1,10.231.205.200,idrac.careerbuilder.com
bearwebtest2,10.231.205.201,idrac.careerbuilder.com
BIRDSA,10.240.19.194,idrac.careerbuilder.com
BIRDSB,10.240.19.195,idrac.careerbuilder.com
bobatch100,10.241.105.157,idrac.careerbuilder.com
bobatch101,10.241.105.158,idrac.careerbuilder.com
boblast100,10.241.10.100,idrac.careerbuilder.com
bumblea,10.241.110.86,idrac.careerbuilder.com
bumbleb,10.241.110.87,idrac.careerbuilder.com
cbbatch117,10.240.19.75,idrac.careerbuilder.com
cbbatch118,10.240.19.84,idrac.careerbuilder.com
cbbatch119,10.240.19.85,idrac.careerbuilder.com
cbbatch200,10.240.19.88,idrac.careerbuilder.com
CBBOASYNC01,10.241.183.102,idrac.careerbuilder.com
CBBOASYNC02,10.241.183.103,idrac.careerbuilder.com
CBBOMX01,10.241.160.203,idrac.careerbuilder.com
CBBOMX02,10.241.160.204,idrac.careerbuilder.com
cbcass10,10.241.205.149,idrac.careerbuilder.com
cbcass11,10.241.205.150,idrac.careerbuilder.com
cbcass12,10.241.205.151,idrac.careerbuilder.com
cbcass13,10.241.205.152,idrac.careerbuilder.com
cbcass14,10.241.205.153,idrac.careerbuilder.com
cbcass15,10.241.205.154,idrac.careerbuilder.com
cbcass9,10.241.205.148,idrac.careerbuilder.com
cbrabbit01,10.241.205.130,idrac.careerbuilder.com
cbrabbit02,10.241.205.131,idrac.careerbuilder.com
cbrabbit03,10.241.205.128,idrac.careerbuilder.com
cbrabbit04,10.241.205.129,idrac.careerbuilder.com
CBSTATSBATCH01,10.241.105.135,idrac.careerbuilder.com
CBSTATSBATCH02,10.241.105.136,idrac.careerbuilder.com
chi108s1,10.231.254.50,idrac.careerbuilder.com
chi108s2,10.231.254.80,idrac.careerbuilder.com
chi109s1,10.231.254.110,idrac.careerbuilder.com
CHIPXEHOST,10.231.15.80,idrac.careerbuilder.com
CHISBRGE01,10.231.65.18,idrac.careerbuilder.com
