datastore,path,file,size,moddate
CHIAPP01S2_VOL4,[CHIAPP01S2_VOL4] gn-chi2k8tst-2/,gn-chi2k8tst-2_1.vmdk,75161927680,12/17/2015 14:57:15
CHIAPP01S2_VOL4,[CHIAPP01S2_VOL4] gn-chi2k8tst-2/,gn-chi2k8tst-2.vmdk,75161927680,12/17/2015 14:56:33
CHIAPP01S2_VOL4,[CHIAPP01S2_VOL4] gn-chi2k12tst-4/,gn-chi2k12tst-4.vmdk,64424509440,12/22/2015 15:55:02
CHIAPP01S2_VOL4,[CHIAPP01S2_VOL4] gn-chi2k12tst-4/,gn-chi2k12tst-4_1.vmdk,64424509440,12/22/2015 15:55:39
CHIAPP01S2_VOL4,[CHIAPP01S2_VOL4] gn-chitest2/,gn-chitest2_1.vmdk,64424509440,12/17/2015 15:42:21
CHIAPP01S2_VOL4,[CHIAPP01S2_VOL4] gn-chitest2/,gn-chitest2.vmdk,64424509440,12/17/2015 15:41:45
CHIAPP02S1_VOL1,[CHIAPP02S1_VOL1] BEARASYNC1/,BEARASYNC1.vmdk,249377587200,10/08/2015 14:56:17
CHIAPP02S1_VOL3,[CHIAPP02S1_VOL3] BEARDOC7/,BEARDOC7_1.vmdk,72611790848,10/02/2015 20:46:48
CHIAPP02S1_VOL4,[CHIAPP02S1_VOL4] gn-chi2012-1/,gn-chi2012-1_1.vmdk,64424509440,12/08/2015 19:55:23
CHIAPP02S1_VOL4,[CHIAPP02S1_VOL4] gn-chi2012-1/,gn-chi2012-1.vmdk,64424509440,12/08/2015 20:32:21
CHIAPP02S1_VOL4,[CHIAPP02S1_VOL4] gn-chi2k8tst09/,gn-chi2k8tst09.vmdk,75161927680,01/06/2016 15:24:17
CHIAPP02S1_VOL4,[CHIAPP02S1_VOL4] gn-chi2k8tst09/,gn-chi2k8tst09_1.vmdk,75161927680,01/06/2016 15:24:36
CHIAPP02S1_VOL4,[CHIAPP02S1_VOL4] BEARDOC8/,BEARDOC8_1.vmdk,72611790848,10/02/2015 20:46:36
CHIAPP02S2_VOL1,[CHIAPP02S2_VOL1] BEARJDIO11/,BEARJDIO11.vmdk,73125593088,10/01/2015 16:12:04
CHIAPP02S2_VOL1,[CHIAPP02S2_VOL1] BEARJDIO11/,BEARJDIO11_1.vmdk,75161927680,10/01/2015 17:16:00
CHIAPP02S2_VOL1,[CHIAPP02S2_VOL1] gn-chi2k8-1/,gn-chi2k8-1.vmdk,75161927680,12/09/2015 15:56:07
CHIAPP02S2_VOL1,[CHIAPP02S2_VOL1] gn-chi2k8-1/,gn-chi2k8-1_1.vmdk,75161927680,12/09/2015 15:56:23
CHIAPP02S2_VOL2,[CHIAPP02S2_VOL2] contentlib-cc0fb36a-2127-488a-abf7-42cb882d5d82/f64d97cc-bec1-42d8-97cc-c81e70114b6b/,disk-vdcs-1_5879c64b-0ae7-4296-ac8e-42370239ddfd.vmdk,14228127744,03/15/2016 17:36:20
CHIAPP02S2_VOL2,[CHIAPP02S2_VOL2] contentlib-cc0fb36a-2127-488a-abf7-42cb882d5d82/fac62d3e-2ebc-4f0c-abb1-0989e8e23ba6/,disk-vdcs-1_0bc22298-43f6-40e2-9e73-6b3cf022a843.vmdk,21287141376,01/18/2016 20:21:06
CHIAPP02S2_VOL2,[CHIAPP02S2_VOL2] contentlib-cc0fb36a-2127-488a-abf7-42cb882d5d82/fac62d3e-2ebc-4f0c-abb1-0989e8e23ba6/,disk-vdcs-2_0bc22298-43f6-40e2-9e73-6b3cf022a843.vmdk,235929600,01/18/2016 19:32:26
CHIAPP02S2_VOL2,[CHIAPP02S2_VOL2] contentlib-cc0fb36a-2127-488a-abf7-42cb882d5d82/297a4d33-9278-4b86-a215-b7a6f0d22823/,disk-vdcs-1_b07f9e56-14e9-4e60-b1ee-e695f3976e50.vmdk,1949302784,12/18/2015 01:04:40
CHIAPP02S2_VOL2,[CHIAPP02S2_VOL2] contentlib-cc0fb36a-2127-488a-abf7-42cb882d5d82/fb86fc05-c326-4e36-8d93-89b46ae37aa4/,disk-vdcs-1_a388da28-ac7d-42f8-bfc1-bd5344065b99.vmdk,13586399232,10/24/2015 00:51:51
CHIAPP02S2_VOL2,[CHIAPP02S2_VOL2] contentlib-cc0fb36a-2127-488a-abf7-42cb882d5d82/cb7b9aa3-fa13-466e-942c-59fc827dc6e0/,disk-vdcs-1_5c278f02-eb7e-40d6-bc67-ce334088c235.vmdk,1949302784,01/20/2016 21:53:28
