datastore,path,file,size,moddate
CHIAPP02S1_VOL1,[CHIAPP02S1_VOL1] BEARASYNC1/,BEARASYNC1.vmdk,2.49378E+11,10/8/2015 14:56
CHIAPP02S1_VOL3,[CHIAPP02S1_VOL3] BEARDOC7/,BEARDOC7_1.vmdk,72611790848,10/2/2015 20:46
CHIAPP02S1_VOL4,[CHIAPP02S1_VOL4] BEARDOC8/,BEARDOC8_1.vmdk,72611790848,10/2/2015 20:46
CHIAPP02S2_VOL1,[CHIAPP02S2_VOL1] BEARJDIO11/,BEARJDIO11.vmdk,73125593088,10/1/2015 16:12
CHIAPP02S2_VOL1,[CHIAPP02S2_VOL1] BEARJDIO11/,BEARJDIO11_1.vmdk,75161927680,10/1/2015 17:16
QTXAPP02S1_VOL1,[QTXAPP02S1_VOL1] CBASYNC205/,CBASYNC205_1.vmdk,72746008576,11/25/2015 5:51
QTXAPP02S1_VOL2,[QTXAPP02S1_VOL2] CBASYNC206/,CBASYNC206_1.vmdk,72746008576,11/25/2015 6:04
QTXAPP02S1_VOL1,[QTXAPP02S1_VOL1] CBJEPROC100/,CBJEPROC100_1.vmdk,72746008576,12/10/2015 20:13
QTXAPP02S1_VOL2,[QTXAPP02S1_VOL2] CBJEPROC101/,CBJEPROC101_1.vmdk,72746008576,12/10/2015 20:20
DEVAPP01_VOL10,[DEVAPP01_VOL10] CentOS6-Basic-Template/,CentOS6-Basic-Template.vmdk,64424509440,10/20/2015 14:47
CHIAPP02S2_VOL3,[CHIAPP02S2_VOL3] chi-2k12tst-1/,chi-2k12tst-1.vmdk,64424509440,12/1/2015 20:34
CHIAPP02S2_VOL3,[CHIAPP02S2_VOL3] chi-2k12tst-1/,chi-2k12tst-1_1.vmdk,64424509440,12/1/2015 17:34
CHIAPP02S2_VOL4,[CHIAPP02S2_VOL4] chi-2k8tst-2/,chi-2k8tst-2.vmdk,75161927680,12/2/2015 12:32
CHIAPP02S2_VOL4,[CHIAPP02S2_VOL4] chi-2k8tst-2/,chi-2k8tst-2_1.vmdk,75161927680,12/2/2015 12:32
DEVAPP01_VOL9,[DEVAPP01_VOL9] dev-gn2012test/,dev-gn2012test.vmdk,64424509440,1/4/2016 17:03
DEVAPP01_VOL9,[DEVAPP01_VOL9] dev-gn2012test/,dev-gn2012test_1.vmdk,64424509440,1/4/2016 17:03
DEVAPP01_VOL9,[DEVAPP01_VOL9] dev-gntest2k12/,dev-gntest2k12.vmdk,64424509440,1/5/2016 13:08
DEVAPP01_VOL9,[DEVAPP01_VOL9] dev-gntest2k12/,dev-gntest2k12_1.vmdk,64424509440,1/5/2016 13:08
DEVAPP01_VOL9,[DEVAPP01_VOL9] DEVLM01/,DEVLM01_1.vmdk,64424509440,9/24/2015 17:22
DEVAPP01_VOL9,[DEVAPP01_VOL9] DEVLM02/,DEVLM02_1.vmdk,64424509440,9/24/2015 17:51
DEVAPP01_VOL9,[DEVAPP01_VOL9] dev-vartest2k12/,dev-vartest2k12.vmdk,64424509440,1/5/2016 15:10
