datastore,path,file,size,moddate
CHIAPP03S2_VOL2,[CHIAPP03S2_VOL2] chismokeping/,chismokeping.vmdk,64424509440,04/19/2016 14:53:55
QTXAPP02S1_VOL3,[QTXAPP02S1_VOL3] gn-qtxtst1/,gn-qtxtst1.vmdk,64424509440,12/09/2015 15:35:29
QTXAPP02S1_VOL3,[QTXAPP02S1_VOL3] gn-qtxtst1/,gn-qtxtst1_1.vmdk,64424509440,12/09/2015 15:00:19
QTXAPP02S1_VOL3,[QTXAPP02S1_VOL3] gn-qtx2k8-2/,gn-qtx2k8-2_1.vmdk,64424509440,12/09/2015 17:10:27
QTXAPP02S1_VOL3,[QTXAPP02S1_VOL3] gn-qtx2k8-2/,gn-qtx2k8-2.vmdk,64424509440,12/09/2015 17:10:10
QTXAPP02S1_VOL3,[QTXAPP02S1_VOL3] greg-qtx2k12-1/,greg-qtx2k12-1.vmdk,64424509440,12/01/2015 20:33:24
QTXAPP02S1_VOL3,[QTXAPP02S1_VOL3] greg-qtx2k12-1/,greg-qtx2k12-1_1.vmdk,64424509440,12/01/2015 17:43:33
QTXAPP02S1_VOL3,[QTXAPP02S1_VOL3] CBJEPROC102/,CBJEPROC102_1.vmdk,72746008576,12/10/2015 19:34:59
QTXAPP02S1_VOL4,[QTXAPP02S1_VOL4] CBJEPROC103/,CBJEPROC103_1.vmdk,72746008576,12/10/2015 20:44:57
QTXAPP02S1_VOL4,[QTXAPP02S1_VOL4] CBBJEPROC103/,CBBJEPROC103_1.vmdk,64424509440,12/15/2015 16:13:28
QTXAPP02S1_VOL4,[QTXAPP02S1_VOL4] CBBJEPROC103/,CBBJEPROC103.vmdk,64424509440,12/15/2015 16:12:52
QTXAPP02S1_VOL4,[QTXAPP02S1_VOL4] QTMMAP2/,QTMMAP2_1.vmdk,72746008576,12/03/2015 16:13:32
QTXAPP02S1_VOL4,[QTXAPP02S1_VOL4] QTMMAP2/,QTMMAP2_3.vmdk,42949672960,12/03/2015 18:14:29
QTXAPP02S1_VOL4,[QTXAPP02S1_VOL4] CBASYNC207/,CBASYNC207_1.vmdk,72746008576,11/25/2015 06:08:32
QTXAPP02S1_VOL4,[QTXAPP02S1_VOL4] CBLS/,CBLS_1.vmdk,105065218048,12/21/2015 22:09:36
QTXAPP02S2_VOL1,[QTXAPP02S2_VOL1] CBJEPROC104/,CBJEPROC104_1.vmdk,72746008576,12/10/2015 22:12:28
QTXAPP02S2_VOL1,[QTXAPP02S2_VOL1] QTMMAP1/,QTMMAP1_1.vmdk,74118594560,11/09/2015 04:18:58
QTXAPP02S2_VOL1,[QTXAPP02S2_VOL1] MAILSM2/,MAILSM2_1.vmdk,64424509440,11/06/2015 01:39:26
QTXAPP02S2_VOL2,[QTXAPP02S2_VOL2] QTXBLOGSERVER/,QTXBLOGSERVER.vmdk,64424509440,12/22/2015 16:18:03
QTXAPP02S2_VOL2,[QTXAPP02S2_VOL2] QTXBLOGSERVER/,QTXBLOGSERVER_1.vmdk,64424509440,12/22/2015 16:00:30
QTXAPP02S2_VOL2,[QTXAPP02S2_VOL2] MAILSM10/,MAILSM10_1.vmdk,64424509440,11/05/2015 04:44:03
QTXAPP02S2_VOL2,[QTXAPP02S2_VOL2] MAILSM3/,MAILSM3_1.vmdk,64424509440,11/06/2015 02:04:24
QTXAPP02S2_VOL3,[QTXAPP02S2_VOL3] QTMMAP6/,QTMMAP6_1.vmdk,72746008576,12/06/2015 04:45:17
QTXAPP02S2_VOL3,[QTXAPP02S2_VOL3] QTXBLOG01/,QTXBLOG01_1.vmdk,64424509440,12/22/2015 18:12:31
QTXAPP02S2_VOL3,[QTXAPP02S2_VOL3] CBASYNC208/,CBASYNC208_1.vmdk,72746008576,12/01/2015 03:31:51
QTXAPP02S2_VOL3,[QTXAPP02S2_VOL3] MAILSM4/,MAILSM4_1.vmdk,64424509440,11/06/2015 02:27:27
QTXAPP02S2_VOL3,[QTXAPP02S2_VOL3] CBJEPROC106/,CBJEPROC106_1.vmdk,72746008576,12/10/2015 20:37:08
QTXAPP02S2_VOL3,[QTXAPP02S2_VOL3] gn-qtx2k8-1/,gn-qtx2k8-1.vmdk,64424509440,12/09/2015 16:21:55
QTXAPP02S2_VOL3,[QTXAPP02S2_VOL3] gn-qtx2k8-1/,gn-qtx2k8-1_1.vmdk,64424509440,12/09/2015 16:22:11
QTXAPP02S2_VOL3,[QTXAPP02S2_VOL3] MAILSM11/,MAILSM11_1.vmdk,64424509440,11/05/2015 04:54:53
QTXAPP02S2_VOL4,[QTXAPP02S2_VOL4] CBJEPROC107/,CBJEPROC107_1.vmdk,72746008576,12/10/2015 22:11:54
QTXAPP02S2_VOL4,[QTXAPP02S2_VOL4] MAILSM301/,MAILSM301_1.vmdk,64424509440,11/06/2015 06:02:49
QTXAPP02S2_VOL4,[QTXAPP02S2_VOL4] CBASYNC209/,CBASYNC209_1.vmdk,72746008576,12/01/2015 03:31:53
QTXAPP02S2_VOL4,[QTXAPP02S2_VOL4] MAILSM12/,MAILSM12_1.vmdk,64424509440,11/05/2015 05:06:30
