#TYPE VMware.VimAutomation.ViCore.Impl.V1.AdvancedSettingImpl
"Uid","Value","Description","Type","Entity","Id","Name","Client"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-ethernet0.uptCompatibility/","true",,"VM","ATEDrone10","VMSetting-ethernet0.uptCompatibility","ethernet0.uptCompatibility","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-sched.cpu.latencySensitivity/","normal",,"VM","ATEDrone10","VMSetting-sched.cpu.latencySensitivity","sched.cpu.latencySensitivity","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-tools.guest.desktop.autolock/","false",,"VM","ATEDrone10","VMSetting-tools.guest.desktop.autolock","tools.guest.desktop.autolock","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-nvram/","ATEDrone10.nvram",,"VM","ATEDrone10","VMSetting-nvram","nvram","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-pciBridge0.present/","true",,"VM","ATEDrone10","VMSetting-pciBridge0.present","pciBridge0.present","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-svga.present/","true",,"VM","ATEDrone10","VMSetting-svga.present","svga.present","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-pciBridge4.present/","true",,"VM","ATEDrone10","VMSetting-pciBridge4.present","pciBridge4.present","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-pciBridge4.virtualDev/","pcieRootPort",,"VM","ATEDrone10","VMSetting-pciBridge4.virtualDev","pciBridge4.virtualDev","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-pciBridge4.functions/","8",,"VM","ATEDrone10","VMSetting-pciBridge4.functions","pciBridge4.functions","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-pciBridge5.present/","true",,"VM","ATEDrone10","VMSetting-pciBridge5.present","pciBridge5.present","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-pciBridge5.virtualDev/","pcieRootPort",,"VM","ATEDrone10","VMSetting-pciBridge5.virtualDev","pciBridge5.virtualDev","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-pciBridge5.functions/","8",,"VM","ATEDrone10","VMSetting-pciBridge5.functions","pciBridge5.functions","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-pciBridge6.present/","true",,"VM","ATEDrone10","VMSetting-pciBridge6.present","pciBridge6.present","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-pciBridge6.virtualDev/","pcieRootPort",,"VM","ATEDrone10","VMSetting-pciBridge6.virtualDev","pciBridge6.virtualDev","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-pciBridge6.functions/","8",,"VM","ATEDrone10","VMSetting-pciBridge6.functions","pciBridge6.functions","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-pciBridge7.present/","true",,"VM","ATEDrone10","VMSetting-pciBridge7.present","pciBridge7.present","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-pciBridge7.virtualDev/","pcieRootPort",,"VM","ATEDrone10","VMSetting-pciBridge7.virtualDev","pciBridge7.virtualDev","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-pciBridge7.functions/","8",,"VM","ATEDrone10","VMSetting-pciBridge7.functions","pciBridge7.functions","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-hpet0.present/","true",,"VM","ATEDrone10","VMSetting-hpet0.present","hpet0.present","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-virtualHW.productCompatibility/","hosted",,"VM","ATEDrone10","VMSetting-virtualHW.productCompatibility","virtualHW.productCompatibility","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-cpuid.coresPerSocket/","4",,"VM","ATEDrone10","VMSetting-cpuid.coresPerSocket","cpuid.coresPerSocket","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-sched.scsi0:0.throughputCap/","off",,"VM","ATEDrone10","VMSetting-sched.scsi0:0.throughputCap","sched.scsi0:0.throughputCap","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-vmci.filter.enable/","true",,"VM","ATEDrone10","VMSetting-vmci.filter.enable","vmci.filter.enable","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-vcpu.hotadd/","true",,"VM","ATEDrone10","VMSetting-vcpu.hotadd","vcpu.hotadd","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
