#TYPE Selected.VMware.Vim.GuestInfo
"HostName","ToolsVersionStatus"
,"guestToolsCurrent"
"ghqcdchef01","guestToolsCurrent"
"ghqcdbuild01","guestToolsCurrent"
"ghqcdpostgres01","guestToolsCurrent"
"ghqchef02.atl.careerbuilder.com","guestToolsCurrent"
"ghqdcchef02","guestToolsCurrent"
"ghqdccbparse01","guestToolsCurrent"
"ghqdcchefstation","guestToolsCurrent"
,"guestToolsNeedUpgrade"
"ghqpigrape","guestToolsNeedUpgrade"
,"guestToolsNeedUpgrade"
,"guestToolsNeedUpgrade"
,"guestToolsNeedUpgrade"
"techblog.atl.careerbuilder.com","guestToolsCurrent"
"centos6-basic-template.atl.careerbuilder.com","guestToolsCurrent"
"mwub041902","guestToolsCurrent"
"mwub041901","guestToolsCurrent"
"ghqpijenkins01","guestToolsCurrent"
"GHQREBELWEB03.atl.careerbuilder.com","guestToolsNeedUpgrade"
"GHQREBELWEB04.atl.careerbuilder.com","guestToolsNeedUpgrade"
"ghqdpibatch02.atl.careerbuilder.com","guestToolsCurrent"
"ghqdpisvc02.atl.careerbuilder.com","guestToolsCurrent"
"ghqdpiwww02.atl.careerbuilder.com","guestToolsCurrent"
"ghqdpimybatch02.atl.careerbuilder.com","guestToolsCurrent"
"GHQDPIProdBlast.atl.careerbuilder.com","guestToolsCurrent"
"ghqdpimap02.atl.careerbuilder.com","guestToolsCurrent"
"ghqdpifeed01.atl.careerbuilder.com","guestToolsCurrent"
"ghqdpimail01.atl.careerbuilder.com","guestToolsCurrent"
"ghqdpimysvc02.atl.careerbuilder.com","guestToolsCurrent"
"ghqdpimap01.atl.careerbuilder.com","guestToolsCurrent"
"ghqdpimysvc01.atl.careerbuilder.com","guestToolsCurrent"
"ghqdpiwww01.atl.careerbuilder.com","guestToolsCurrent"
"testjapi2.atl.careerbuilder.com","guestToolsCurrent"
"ghqdpibatch01.atl.careerbuilder.com","guestToolsCurrent"
"ghqdpisvc01.atl.careerbuilder.com","guestToolsCurrent"
"GHQFOUND06.cb.careerbuilder.com","guestToolsCurrent"
"ghqdpifeed02.atl.careerbuilder.com","guestToolsCurrent"
"testjapi1.atl.careerbuilder.com","guestToolsCurrent"
"GHQDPIDevBlast.atl.careerbuilder.com","guestToolsCurrent"
"ghqdpimail02.atl.careerbuilder.com","guestToolsCurrent"
"ghqdpimybatch01.atl.careerbuilder.com","guestToolsCurrent"
"ATEDrone10.atl.careerbuilder.com","guestToolsNeedUpgrade"
"ghqpiswagger1","guestToolsCurrent"
"GHQPITallyView.atl.careerbuilder.com","guestToolsNeedUpgrade"
"GHQPIRAILSDB2","guestToolsCurrent"
