#TYPE Selected.VMware.Vim.VirtualMachine,
Name,IP
QTMATLAS02,10.240.70.161
PRTG1,10.240.70.133
QTMLINM1,
2012R2 SiteOps,
CentOS6-Basic-Template V1.0.0,
SERVERVIEW,10.240.70.135
DBMONITOR,
QTMORCA1,10.240.70.136
QTMVCMDR1,10.240.70.151
QTMDHCP1,"10.241.253.10,10.240.70.40"
3PARREPORT1,10.240.70.104
3PARSSMC1,10.240.70.105
QTMKaseya1,10.240.70.130
QTMSPACES1,
QTMATLAS01,10.240.70.200
QTMVCTR1,10.240.70.90
QTMPASS01,10.240.70.139
QTMMGMT2,10.240.70.123
QTMEPO1,10.240.70.121
3PARREPORT2,10.240.70.106
SOLARWINDSAPP,10.240.70.131
QTMMGMTDB1,10.240.70.120
PANORAMA,
UNICRON,10.240.70.140
SILVERPEAKGMS,
QUESTMGT01,10.240.70.160
QTMUPDATE01,10.240.70.128
QTMOME1,"10.240.70.11,169.254.50.13"
QTMMGMT1,10.240.70.122
QTMSANHQ1,10.240.70.137
QTMMGMT3,10.240.70.124
OPENMANAGE,10.240.70.100
MAILPSA110,"10.240.193.114,10.240.193.110,10.240.193.112,10.240.193.111,10.240.193.113,fe80::250:56ff:feb8:37d7"
QTMHDWEB1,
QTMHDWEB2,
QTMHDOOZIE1,10.240.99.110
MAILPSA120,"10.240.193.124,10.240.193.120,10.240.193.121,10.240.193.122,10.240.193.123,fe80::250:56ff:feb8:1a70"
HADOOP_CENTOS66,
MAILPSA150,"10.240.193.154,10.240.193.150,10.240.193.151,10.240.193.152,10.240.193.153,fe80::250:56ff:feb8:3fb6"
MAILPSA160,"10.240.193.164,10.240.193.160,10.240.193.161,10.240.193.162,10.240.193.163,fe80::250:56ff:feb8:5d9b"
MAILPSA170,"10.240.193.174,10.240.193.170,10.240.193.171,10.240.193.172,10.240.193.173,fe80::250:56ff:feb8:2f77"
QTX-TMC-132,"10.240.65.132,fe80::250:56ff:feb8:589f"
SMOKEPING,"10.240.65.140,"
MAILPSA180,"10.240.193.184,10.240.193.180,10.240.193.181,10.240.193.182,10.240.193.183,fe80::250:56ff:feb8:3df7"
QTXMAILSVC100,"10.240.188.100,10.240.188.110,10.240.188.111,10.240.188.112,10.240.188.113"
QTXMAILSVC101,"10.240.188.101,10.240.188.114,10.240.188.115,10.240.188.116"
MAILPSA190,"10.240.193.194,10.240.193.190,10.240.193.191,10.240.193.192,10.240.193.193,fe80::250:56ff:feb8:32f9"
QTXMAILSVC102,"10.240.188.102,10.240.188.117,10.240.188.118,10.240.188.119"
QTXMAILHIGH01,10.240.186.111
