#TYPE Deserialized.System.Management.Automation.PSCustomObject
"ICSDomain","SyncDomainWithMembership","NV Hostname","DataBasePath","NameServer","ForwardBroadcasts","IPEnableRouter","Domain","Hostname","SearchList","UseDomainNameDevolution","EnableICMPRedirect","DeadGWDetectDefault","DontAddDefaultGatewayDefault","NV Domain","TcpWindowSize","PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSComputerName","RunspaceId","PSShowComputerName"
"mshome.net","1","GHQVJEProc02","C:\Windows\System32\drivers\etc","","0","0","atl.careerbuilder.com","GHQVJEProc02","","1","1","1","0","atl.careerbuilder.com","64240","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip\Parameters\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip","Parameters","HKLM","Microsoft.PowerShell.Core\Registry","GHQVJEPROC02","024ecd45-4b0c-4b59-a704-c185b4428245","True"
"mshome.net","1","GHQVJEPROC03","C:\Windows\System32\drivers\etc","","0","0","atl.careerbuilder.com","GHQVJEPROC03","","1","1","1","0","atl.careerbuilder.com","64240","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip\Parameters\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip","Parameters","HKLM","Microsoft.PowerShell.Core\Registry","GHQVJEPROC03","76bde5b7-5d91-4ecf-92c2-19beaef9b61f","True"
"mshome.net","1","CBJEPROC108","C:\Windows\System32\drivers\etc","","0","0","atl.careerbuilder.com","CBJEPROC108","","1","1","1","0","atl.careerbuilder.com",,"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip\Parameters\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip","Parameters","HKLM","Microsoft.PowerShell.Core\Registry","CBJEPROC108","fd7f1829-ec71-4847-9897-787fa5224b7f","True"
"mshome.net","1","CBJEPROC109","C:\Windows\System32\drivers\etc","","0","0","atl.careerbuilder.com","CBJEPROC109","","1","1","1","0","atl.careerbuilder.com",,"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip\Parameters\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip","Parameters","HKLM","Microsoft.PowerShell.Core\Registry","CBJEPROC109","5ca622ba-7ef9-439d-b7fd-56b02210250b","True"
"mshome.net","1","CBJEPROC110","C:\Windows\System32\drivers\etc","","0","0","atl.careerbuilder.com","CBJEPROC110","","1","1","1","0","atl.careerbuilder.com",,"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip\Parameters\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip","Parameters","HKLM","Microsoft.PowerShell.Core\Registry","CBJEPROC110","355b6bcc-8704-4700-99f6-18c695f07b99","True"
"mshome.net","1","CBJEPROC111","C:\Windows\System32\drivers\etc","","0","0","atl.careerbuilder.com","CBJEPROC111","","1","1","1","0","atl.careerbuilder.com",,"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip\Parameters\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip","Parameters","HKLM","Microsoft.PowerShell.Core\Registry","CBJEPROC111","82074307-207e-41bf-9b71-6d9d22072b6d","True"
"mshome.net","1","CBJEPROC112","C:\Windows\System32\drivers\etc","","0","0","atl.careerbuilder.com","CBJEPROC112","","1","1","1","0","atl.careerbuilder.com",,"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip\Parameters\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip","Parameters","HKLM","Microsoft.PowerShell.Core\Registry","CBJEPROC112","e9b90ddd-eecd-40e6-bf90-03e4103728f1","True"
"mshome.net","1","CBJEPROC113","C:\Windows\System32\drivers\etc","","0","0","atl.careerbuilder.com","CBJEPROC113","","1","1","1","0","atl.careerbuilder.com",,"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip\Parameters\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip","Parameters","HKLM","Microsoft.PowerShell.Core\Registry","CBJEPROC113","121afbcd-57c6-40ed-ae43-9888be15cd5f","True"
"mshome.net","1","CBJEPROC114","C:\Windows\System32\drivers\etc","","0","0","atl.careerbuilder.com","CBJEPROC114","","1","1","1","0","atl.careerbuilder.com",,"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip\Parameters\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip","Parameters","HKLM","Microsoft.PowerShell.Core\Registry","CBJEPROC114","6db1ae94-57f3-4d94-ac9c-63b5e6308fbc","True"
"mshome.net","1","CBJEPROC115","C:\Windows\System32\drivers\etc","","0","0","atl.careerbuilder.com","CBJEPROC115","","1","1","1","0","atl.careerbuilder.com",,"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip\Parameters\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip","Parameters","HKLM","Microsoft.PowerShell.Core\Registry","CBJEPROC115","dd2babc8-e53a-4cf4-aa66-ec6edd8293d7","True"
"mshome.net","1","CBJEPROC116","C:\Windows\System32\drivers\etc","","0","0","atl.careerbuilder.com","CBJEPROC116","","1","1","1","0","atl.careerbuilder.com","64240","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip\Parameters\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip","Parameters","HKLM","Microsoft.PowerShell.Core\Registry","CBJEPROC116","43cf0ecd-7c11-4664-91d9-eaff56bc206c","True"
