server,tcpwindowsize,tcptimedwaitdelay,maxuserport
CBASYNC200,,30,51024
CBASYNC201,,30,51024
CBASYNC202,,30,51024
CBASYNC203,,30,51024
CBASYNC204,,30,51024
CBASYNC205,,30,51024
CBASYNC206,,30,51024
CBASYNC207,,30,51024
CBASYNC208,,30,51024
CBASYNC209,,30,51024
CBASYNC210,,30,51024
CBASYNC212,,30,51024
CBASYNC213,,30,51024
CBASYNC214,,30,51024
CBASYNC223,,30,51024
CBASYNC224,,30,51024
CBASYNC225,,30,51024
CBASYNC226,,30,51024
CBASYNC215,,30,51024
CBASYNC216,,30,51024
CBASYNC227,,30,51024
CBASYNC228,,30,51024
CBASYNC229,,30,51024
CBASYNC217,,30,51024
CBASYNC219,,30,51024
CBASYNC220,,30,51024
CBASYNC221,,30,51024
CBASYNC230,,30,51024
CBASYNC239,,30,51024
CBASYNC238,,30,51024
CBASYNC237,,30,51024
CBASYNC236,,30,51024
CBASYNC235,,30,51024
CBASYNC234,,30,51024
CBASYNC233,,30,51024
CBASYNC232,,30,51024
CBASYNC231,,30,51024
CBASYNC222,,30,51024
CBASYNC218,,30,51024
CBASYNC211,,30,51024
