#TYPE Selected.VMware.VimAutomation.ViCore.Impl.V1.Inventory.VirtualMachineImpl
"PowerState","Version","Description","Notes","Guest","NumCpu","MemoryMB","MemoryGB","HardDisks","NetworkAdapters","UsbDevices","CDDrives","FloppyDrives","Host","HostId","VMHostId","VMHost","VApp","FolderId","Folder","ResourcePoolId","ResourcePool","PersistentId","UsedSpaceGB","ProvisionedSpaceGB","DatastoreIdList","HARestartPriority","HAIsolationResponse","DrsAutomationLevel","VMSwapfilePolicy","VMResourceConfiguration","GuestId","Name","CustomFields","ExtensionData","Id","Uid","Client"
"PoweredOn","v11","","","QTMATLAS02:CentOS 4/5/6/7 (64-bit)","8","12288","12","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.HardDisk[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.NetworkAdapter[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.UsbDevice[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.CDDrive[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.FloppyDrive[]","qtmmgmtvm5.atl.careerbuilder.com","HostSystem-host-79","HostSystem-host-79","qtmmgmtvm5.atl.careerbuilder.com",,"Folder-group-v197","SiteOps","ResourcePool-resgroup-29","Resources","502f4bf2-aec0-a8d5-95ba-5ccb2352c3dd","72.187246235087513923645019531","72.187246722169220447540283203","System.String[]","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/8000 MemShares:Normal/122880","centos64Guest","QTMATLAS02","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VMware.Vim.VirtualMachine","VirtualMachine-vm-1011","/VIServer=cbatl\jterry.site@qtmvctr1:443/VirtualMachine=VirtualMachine-vm-1011/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"PoweredOn","v11","","","PRTG1:Microsoft Windows Server 2012 (64-bit)","4","8192","8","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.HardDisk[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.NetworkAdapter[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.UsbDevice[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.CDDrive[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.FloppyDrive[]","qtmmgmtvm2.atl.careerbuilder.com","HostSystem-host-110","HostSystem-host-110","qtmmgmtvm2.atl.careerbuilder.com",,"Folder-group-v197","SiteOps","ResourcePool-resgroup-29","Resources","502fb269-02df-c40f-dce8-a368791bf50d","168.16723318025469779968261719","168.16723410226404666900634766","System.String[]","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/8000 MemShares:Normal/163840","windows8Server64Guest","PRTG1","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VMware.Vim.VirtualMachine","VirtualMachine-vm-1018","/VIServer=cbatl\jterry.site@qtmvctr1:443/VirtualMachine=VirtualMachine-vm-1018/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"PoweredOn","v11","","","QTMLINM1:","4","2048","2","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.HardDisk[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.NetworkAdapter[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.UsbDevice[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.CDDrive[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.FloppyDrive[]","qtmmgmtvm1.atl.careerbuilder.com","HostSystem-host-31","HostSystem-host-31","qtmmgmtvm1.atl.careerbuilder.com",,"Folder-group-v197","SiteOps","ResourcePool-resgroup-29","Resources","502f8ff2-4323-26ea-b104-0911e75bc5ee","102.18309691175818443298339844","102.18309735134243965148925782","System.String[]","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/20480","centos64Guest","QTMLINM1","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VMware.Vim.VirtualMachine","VirtualMachine-vm-1082","/VIServer=cbatl\jterry.site@qtmvctr1:443/VirtualMachine=VirtualMachine-vm-1082/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"PoweredOn","v10","","","SERVERVIEW:Microsoft Windows Server 2012 (64-bit)","8","8192","8","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.HardDisk[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.NetworkAdapter[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.UsbDevice[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.CDDrive[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.FloppyDrive[]","qtmmgmtvm1.atl.careerbuilder.com","HostSystem-host-31","HostSystem-host-31","qtmmgmtvm1.atl.careerbuilder.com",,"Folder-group-v197","SiteOps","ResourcePool-resgroup-29","Resources","502f49eb-8c7b-8daf-da41-e6b49095523d","68.189181008376181125640869141","68.189181474037468433380126954","System.String[]","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/8000 MemShares:Normal/81920","windows8Server64Guest","SERVERVIEW","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VMware.Vim.VirtualMachine","VirtualMachine-vm-142","/VIServer=cbatl\jterry.site@qtmvctr1:443/VirtualMachine=VirtualMachine-vm-142/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"PoweredOn","v10","","","QTMORCA1:Microsoft Windows Server 2012 (64-bit)","8","16384","16","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.HardDisk[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.NetworkAdapter[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.UsbDevice[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.CDDrive[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.FloppyDrive[]","qtmmgmtvm2.atl.careerbuilder.com","HostSystem-host-110","HostSystem-host-110","qtmmgmtvm2.atl.careerbuilder.com",,"Folder-group-v197","SiteOps","ResourcePool-resgroup-29","Resources","502fa7b2-295d-6364-2309-500cb09d39ce","216.55130168702453374862670898","416.40970121324062347412109375","System.String[]","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/8000 MemShares:Normal/163840","windows8Server64Guest","QTMORCA1","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VMware.Vim.VirtualMachine","VirtualMachine-vm-165","/VIServer=cbatl\jterry.site@qtmvctr1:443/VirtualMachine=VirtualMachine-vm-165/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"PoweredOn","v11","","","QTMVCMDR1:Microsoft Windows Server 2012 (64-bit)","8","16384","16","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.HardDisk[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.NetworkAdapter[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.UsbDevice[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.CDDrive[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.FloppyDrive[]","qtmmgmtvm3.atl.careerbuilder.com","HostSystem-host-55","HostSystem-host-55","qtmmgmtvm3.atl.careerbuilder.com",,"Folder-group-v197","SiteOps","ResourcePool-resgroup-29","Resources","502fa06a-0502-bd32-a7c8-9fc63006bd1c","79.27434413041919469833374023","139.13274429459124803543090820","System.String[]","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/8000 MemShares:Normal/163840","windows8Server64Guest","QTMVCMDR1","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VMware.Vim.VirtualMachine","VirtualMachine-vm-191","/VIServer=cbatl\jterry.site@qtmvctr1:443/VirtualMachine=VirtualMachine-vm-191/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"PoweredOn","v10","","","QTMDHCP1:Microsoft Windows Server 2012 (64-bit)","8","16384","16","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.HardDisk[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.NetworkAdapter[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.UsbDevice[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.CDDrive[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.FloppyDrive[]","qtmmgmtvm1.atl.careerbuilder.com","HostSystem-host-31","HostSystem-host-31","qtmmgmtvm1.atl.careerbuilder.com",,"Folder-group-v197","SiteOps","ResourcePool-resgroup-29","Resources","502f8ea9-9284-dc22-e4fa-0e42938820e7","136.18842845596373081207275391","136.18842940684407949447631836","System.String[]","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/8000 MemShares:Normal/163840","windows8Server64Guest","QTMDHCP1","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VMware.Vim.VirtualMachine","VirtualMachine-vm-198","/VIServer=cbatl\jterry.site@qtmvctr1:443/VirtualMachine=VirtualMachine-vm-198/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"PoweredOn","v10","","","3PARREPORT1:Microsoft Windows Server 2012 (64-bit)","8","32768","32","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.HardDisk[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.NetworkAdapter[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.UsbDevice[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.CDDrive[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.FloppyDrive[]","qtmmgmtvm2.atl.careerbuilder.com","HostSystem-host-110","HostSystem-host-110","qtmmgmtvm2.atl.careerbuilder.com",,"Folder-group-v197","SiteOps","ResourcePool-resgroup-29","Resources","502f1756-20ab-e727-5231-fba9709fe1ac","132.18850933946669101715087891","132.18850982841104269027709961","System.String[]","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/8000 MemShares:Normal/163840","windows8Server64Guest","3PARREPORT1","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VMware.Vim.VirtualMachine","VirtualMachine-vm-241","/VIServer=cbatl\jterry.site@qtmvctr1:443/VirtualMachine=VirtualMachine-vm-241/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"PoweredOn","v10","","","3PARSSMC1:Microsoft Windows Server 2012 (64-bit)","8","32768","32","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.HardDisk[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.NetworkAdapter[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.UsbDevice[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.CDDrive[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.FloppyDrive[]","qtmmgmtvm2.atl.careerbuilder.com","HostSystem-host-110","HostSystem-host-110","qtmmgmtvm2.atl.careerbuilder.com",,"Folder-group-v197","SiteOps","ResourcePool-resgroup-29","Resources","502fed2a-1ae0-a28f-136b-d76ca2c18b4c","133.9861385524272918701171875","232.1882877768948674201965332","System.String[]","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/8000 MemShares:Normal/163840","windows8Server64Guest","3PARSSMC1","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VMware.Vim.VirtualMachine","VirtualMachine-vm-242","/VIServer=cbatl\jterry.site@qtmvctr1:443/VirtualMachine=VirtualMachine-vm-242/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"PoweredOn","v11","","","QTMKaseya1:Microsoft Windows Server 2012 (64-bit)","8","10240","10","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.HardDisk[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.NetworkAdapter[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.UsbDevice[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.CDDrive[]","VMware.VimAutomation.ViCore.Types.V1.VirtualDevice.FloppyDrive[]","qtmmgmtvm5.atl.careerbuilder.com","HostSystem-host-79","HostSystem-host-79","qtmmgmtvm5.atl.careerbuilder.com",,"Folder-group-v197","SiteOps","ResourcePool-resgroup-29","Resources","502fbae0-18b2-f419-69be-d5e5905df862","110.16886731144040822982788086","110.16886779852211475372314453","System.String[]","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/8000 MemShares:Normal/102400","windows8Server64Guest","QTMKaseya1","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VMware.Vim.VirtualMachine","VirtualMachine-vm-256","/VIServer=cbatl\jterry.site@qtmvctr1:443/VirtualMachine=VirtualMachine-vm-256/","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
