Server,Servicename,Status
QUESTMGT1,,
CHICTRL1A,wuauserv,Stopped
QTWCTRL1,wuauserv,Stopped
AUTO,wuauserv,Stopped
DEVEKM1,wuauserv,Running
WARCL,wuauserv,Stopped
QTWDSRV1,wuauserv,Stopped
ODSOPTIMUSA,wuauserv,Stopped
SIDE,wuauserv,Stopped
QTWMSG1CL,wuauserv,Stopped
DEVBKP1,wuauserv,Stopped
ODSMEGAB,wuauserv,Stopped
CHIDSRV1B,wuauserv,Stopped
AUTOCL,wuauserv,Stopped
ODSOPTIMUS,wuauserv,Stopped
QTMMGMTDB1,wuauserv,Stopped
CHIDSRV1A,wuauserv,Stopped
MEGA,wuauserv,Stopped
DIS-VASCOID,wuauserv,Running
SIDEA,wuauserv,Stopped
AUTOA,wuauserv,Stopped
CHIMSG1CL,wuauserv,Stopped
OPTIMUSCL,wuauserv,Running
SIDECL,wuauserv,Stopped
QTWCTRL1CL,wuauserv,Stopped
DOCTORB,wuauserv,Stopped
DBMONITOR,wuauserv,Running
QTWSC1B,wuauserv,Stopped
JURASSICB,wuauserv,Stopped
QTWMSG1A,wuauserv,Stopped
QTWDSRV1B,wuauserv,Stopped
QTWDSRV1A,wuauserv,Stopped
JURASSICA,wuauserv,Stopped
SIDEB,wuauserv,Stopped
QTMBKP1,wuauserv,Stopped
QTWSC1CL,wuauserv,Stopped
CHIMSG1,wuauserv,Stopped
CHICTRL1B,wuauserv,Stopped
CHICTRL1,wuauserv,Stopped
DEVWARA,wuauserv,Stopped
QTMEKM1,wuauserv,Running
CHIDSRV1CL,wuauserv,Stopped
OPTIMUSB,wuauserv,Stopped
3PARREPORT,wuauserv,Running
DEVWAR,wuauserv,Stopped
ODSMEGAA,wuauserv,Stopped
ODSBUMBLEB,,
PASSWORD,wuauserv,Running
ODSOPTIMUSB,wuauserv,Stopped
MEGACL,wuauserv,Stopped
ODSSOUNDB,,
QTMMGMT1,wuauserv,Stopped
QTWMSG1,wuauserv,Stopped
WAR,wuauserv,Stopped
OPTIMUS,wuauserv,Running
WARB,wuauserv,Stopped
